,actor,rev_sum,grade_sum,appearances,score,score_epfl,gender,cluster
47,Clarence_Burton,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,M,0
48,Rod_La_Rocque,35898500.0,3.877054135361628,2.0,18.751281691656175,4.003644098412549,M,2
49,Charles_de_Rochefort,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,M,0
50,Nita_Naldi,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,F,0
51,Leatrice_Joy,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,F,0
52,Robert_Edeson,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,M,0
53,Noble_Johnson,29094369.047619045,4.688363514775627,4.0,18.731138800715478,3.996600869537529,M,1
54,Edythe_Chapman,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,F,0
55,James_Neill,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,M,0
56,Julia_Faye,84777071.42857143,4.471162386314342,2.0,19.753184096606287,4.353972557682427,F,0
57,Estelle_Taylor,41302071.428571425,4.3423921478168515,2.0,19.004848594726937,4.092307127900972,F,0
58,Theodore_Roberts,59554142.85714285,4.913124523115177,1.0,19.49430651923765,4.263452580515999,M,0
59,Richard_Dix,22897495.238095235,3.0201984531423047,5.0,18.05186062648192,3.7590822499402954,M,1
60,J._Warren_Kerrigan,49999999.99999999,2.938256453654835,1.0,18.805349925848923,4.022549773343163,M,2
61,Warner_Oland,52857142.85714285,3.461405075689524,2.0,19.02477801242388,4.099275713026051,M,2
62,Lois_Wilson,49999999.99999999,2.938256453654835,1.0,18.805349925848923,4.022549773343163,F,2
63,Sylvia_Ashton,3926100.0,4.65529241390193,1.0,16.72116185063255,3.2937857803516883,F,2
64,Dale_Fuller,78663050.0,5.510833762654806,2.0,19.88740002849221,4.400902937722195,F,0
65,Joan_Standing,3926100.0,4.65529241390193,1.0,16.72116185063255,3.2937857803516883,F,2
66,Jack_Curtis,3926100.0,4.65529241390193,1.0,16.72116185063255,3.2937857803516883,M,2
67,Lon_Poff,3926100.0,4.65529241390193,1.0,16.72116185063255,3.2937857803516883,M,2
68,Chester_Conklin,74159525.0,5.546629181332621,2.0,19.834919462660153,4.382552412083451,M,0
69,Tempe_Pigott,27653144.444444444,3.8016808529020856,3.0,18.470693301237482,3.9055326476178065,F,2
70,Jean_Hersholt,19039159.3939394,4.157351814529095,5.0,18.186886725397166,3.806295915623189,M,1
71,Gibson_Gowland,16248764.285714284,4.989309884886463,2.0,18.210825020469688,3.814666257872963,M,0
72,ZaSu_Pitts,8318157.936507937,3.2354658715302853,3.0,17.10812431375342,3.4290923359908696,F,2
73,Jason_London,19850046.560741074,4.262045223286084,7.0,18.25346605515738,3.829576260993033,M,1
74,Aileen_Pringle,8500000.0,1.4540580756394446,1.0,16.329935041754574,3.1569881396811703,F,2
75,Harold_Lloyd,26261904.76190476,4.44988716231362,3.0,18.57650869800761,3.9425324040155934,M,1
76,Jobyna_Ralston,29642857.14285714,4.432336376132613,2.0,18.69365859228649,3.983495417741857,F,2
77,Conway_Tearle,9505952.38095238,3.0494305597660407,2.0,17.18238359824836,3.4550580793557546,M,2
78,Georgia_Hale,60714299.99999999,5.52119839471815,1.0,19.63028475034599,4.310999171843724,F,0
79,Mack_Swain,60714299.99999999,5.52119839471815,1.0,19.63028475034599,4.310999171843724,M,0
80,Malcolm_Waite,60714299.99999999,5.52119839471815,1.0,19.63028475034599,4.310999171843724,M,0
81,Tom_Murray,60714299.99999999,5.52119839471815,1.0,19.63028475034599,4.310999171843724,M,0
82,Charles_Belcher,153400000.0,6.366375111407682,1.0,20.69958969821359,4.684895823878178,M,0
