,actor,rev_sum,grade_sum,appearances,score,score_epfl
1842,Keefe_Brasselle,86363636.36363636,7.007400467058686,2.0,20.221044069943133,3.620095098768726
1843,John_Ridgely,86363636.36363636,8.366585493661127,2.0,20.398323125230203,3.6662674752928672
1844,Emmett_Kelly,109090909.0909091,4.949120420257313,1.0,20.106901988856034,3.5903667637622667
1845,Charlton_Heston,5304437003.17474,127.56946877280652,28.0,27.240470547023087,5.448306568862802
1846,Lyle_Bettger,207727272.7272727,16.640252137557567,5.0,21.963561176269923,4.073934136904361
1847,John_Ringling_North,109090909.0909091,4.949120420257313,1.0,20.106901988856034,3.5903667637622667
1848,Cornel_Wilde,157272727.27272728,13.071067363549117,4.0,21.443893162112396,3.9385864660902317
1849,Maria_Tallchief,25000000.0,3.253546607413282,1.0,18.214132047998056,3.0973943353986684
1850,Wilton_Graff,150454545.45454544,13.100173524082614,4.0,21.40179704920962,3.9276225224252435
1851,Howard_Freeman,86727272.72727272,7.520334500781916,2.0,20.295889575073623,3.6395886302433187
1852,Bert_Stevens,35000000.0,7.054158129753635,2.0,19.324475868049696,3.3865836750398364
1853,John_Dehner,343220338.030303,31.00998683213927,8.0,23.088192492296876,4.3668446586259
1854,Mel_Ferrer,731492097.7189476,36.16661427774193,8.0,23.99873341129085,4.6039952801945265
1855,Leslie_Bradley,22727272.727272727,4.2125190709796705,1.0,18.377137025931912,3.13984902472609
1856,James_Hayter,582382816.3636364,16.602039041014347,4.0,22.992164071156434,4.341834031111355
1857,Dana_Wynter,756617799.810606,26.25725515831368,6.0,23.712311133771188,4.529396522765879
1858,Eliot_Makeham,22727272.727272727,4.2125190709796705,1.0,18.377137025931912,3.13984902472609
1859,Noel_Purcell,84545454.54545453,14.109398472604365,3.0,20.89964100498672,3.7968358487813196
1860,Frank_Pettingell,22727272.727272727,4.2125190709796705,1.0,18.377137025931912,3.13984902472609
1861,Eva_Bartok,31060606.060606062,6.616903184931239,2.0,19.141078351729963,3.3388177437323003
1862,Torin_Thatcher,598636363.6363636,37.3481660546007,10.0,23.83044870809947,4.560165485036697
1863,Herbert_Berghof,456717173.42657334,9.000891914465011,2.0,22.13689855478027,4.11907990267645
1864,Oskar_Karlweis,12272727.272727272,4.439050104608975,1.0,17.81333047675657,2.9930054608705268
1865,Ben_Astar,369454545.45454544,13.746426176665338,4.0,22.348317150328853,4.174143931430819
1866,John_Wengraf,58106060.60606061,7.506035727942782,2.0,19.893487990358476,3.534783031785608
1867,Carl_Benton_Reid,128143939.3939394,21.479562706624527,6.0,21.73576662786155,4.0146049869253835
1868,Hillary_Brooke,55454545.45454545,8.860436198625266,2.0,20.01267023808886,3.565824079518459
1869,Barbara_Britton,24545454.545454547,1.8614550062918631,1.0,17.63739568752961,2.947183198794906
1870,Robert_Stack,531835899.56768864,37.611221847216314,9.0,23.719147999514192,4.53117718624482
1871,Paul_McVey,206363636.36363637,7.093023894945808,2.0,21.10426214666231,3.850129478888644
1872,Iron_Eyes_Cody,117898749.58091554,16.679836865655428,5.0,21.39953737633781,3.9270339900321214
1873,Zsa_Zsa_Gábor,479657177.7982078,35.438074184228434,9.0,23.556368977860515,4.488781347289934
1874,Martita_Hunt,19090909.09090909,3.3912738572098164,1.0,17.98592843578065,3.0379586446431586
1875,Peter_Finch,69819776.71451356,14.802662555060767,4.0,20.756234928578465,3.7594856985052503
1876,Joan_Rice,41818181.81818181,6.363665211496876,2.0,19.39944627712498,3.406109737779665
1877,Richard_Todd,474766899.7668997,21.84359490279342,6.0,23.06224224332267,4.360085909462938
1878,Hubert_Gregg,19090909.09090909,3.3912738572098164,1.0,17.98592843578065,3.0379586446431586
1879,Pier_Angeli,88965034.96503498,14.924009108829758,5.0,21.006725250649588,3.8247259686973085
1880,Kurt_Kasznar,737679653.6796536,38.04837463851238,11.0,24.057878581653192,4.619399655353974
1881,Renzo_Cesana,11727272.727272728,1.9433042201996051,1.0,16.941817420080287,2.7660196562959145
1882,Mike_Mazurki,556543604.3822843,22.894677937641305,6.0,23.26816055937573,4.413717388977666
1883,Keith_Andes,38636363.63636364,9.105710315300614,3.0,19.678606177988712,3.4788170073003095
1884,Silvio_Minciotti,13636363.636363637,4.715203734004169,1.0,17.979042704171047,3.0361652540364226
1885,Mario_Siletti,13636363.636363637,4.715203734004169,1.0,17.979042704171047,3.0361652540364226
1886,Lori_Nelson,69090909.0909091,14.446671679357518,4.0,20.721397772865387,3.7504123521473867
1887,Leonard_Nimoy,3634121717.128479,89.20087279188125,19.0,26.50452412454134,5.256629129780124
1888,Jack_Lambert,122727272.72727273,9.803780486455748,3.0,20.908243231811188,3.799076301017723
1889,Sidney_Poitier,1229372252.468376,40.695828138646206,9.0,24.63589509666275,4.769944208544291
1890,Danny_Thomas,44545454.54545455,8.200910373478518,2.0,19.71626584553431,3.488625477606481
